id,game,code,name,aka,faction,domain,kind,tech,role,description,hp,cost_metal,cost_energy,build_time,speed,weapons,image
ta-armcom,ta,ARMCOM,Commander,,arm,commander,Commander,0,commander,Commander,3000,29854.0,34125.0,,,ARMCOMLASER | ARM_DISINTEGRATOR,img/ta/armcom.png
ta-armdecom,ta,ARMDECOM,Decoy Commander,,arm,commander,Commander,0,commander,Decoy Commander,1420,721.0,11561.0,,,ARMCOMLASER,img/ta/armdecom.png
ta-armaca,ta,ARMACA,Adv. Construction Aircraft,,arm,land,Construction units,2,t2_engineer,Tech Level 2,360,220.0,12096.0,,,,img/ta/armaca.png
ta-armack,ta,ARMACK,Adv. Construction Kbot,,arm,land,Construction units,2,t2_engineer,Tech Level 2,1040,300.0,5784.0,,,,img/ta/armack.png
ta-armacsub,ta,ARMACSUB,Advanced Construction Sub,,arm,navy,Construction units,2,t2_engineer,Tech Level 2,360,695.0,7568.0,,,,img/ta/armacsub.png
ta-armacv,ta,ARMACV,Adv. Construction Vehicle,,arm,land,Construction units,2,t2_engineer,Tech Level 2,1205,481.0,4263.0,,,,img/ta/armacv.png
ta-armca,ta,ARMCA,Construction Aircraft,,arm,air,Construction units,1,t1_engineer,Tech Level 1,280,105.0,4320.0,,,,img/ta/armca.png
ta-armch,ta,ARMCH,Construction Hovercraft,,arm,land,Construction units,1,t1_engineer,Tech Level 1,723,396.0,4370.0,,,,img/ta/armch.png
ta-armck,ta,ARMCK,Construction KBot,,arm,land,Construction units,1,t1_engineer,Tech Level 1,700,120.0,2410.0,,,,img/ta/armck.png
ta-armcs,ta,ARMCS,Construction Ship,,arm,navy,Construction units,1,t1_engineer,Tech Level 1,1105,255.0,2130.0,,,,img/ta/armcs.png
ta-armcsa,ta,ARMCSA,Construction Seaplane,,arm,air,Construction units,1,t1_engineer,Tech Level 1,170,115.0,5368.0,,,,img/ta/armcsa.png
ta-armcv,ta,ARMCV,Construction Vehicle,,arm,land,Construction units,1,t1_engineer,Tech Level 1,870,185.0,2030.0,,,,img/ta/armcv.png
ta-armfark,ta,ARMFARK,FARK,,arm,land,Construction units,2,t2_engineer,Fast Assist-Repair Kbot,830,480.0,3219.0,,,,img/ta/armfark.png
ta-armmlv,ta,ARMMLV,Podger,,arm,land,Construction units,1,t1_engineer,Mine Layer Vehicle,1200,173.0,1031.0,,,,img/ta/armmlv.png
ta-armaap,ta,ARMAAP,Adv. Aircraft Plant,,arm,structure,"Production buildings (plants, labs, shipyards)",2,t2_factory_air,Produces Aircraft,2100,2210.0,4521.0,,,,img/ta/armaap.png
ta-armalab,ta,ARMALAB,Adv. Kbot Lab,,arm,structure,"Production buildings (plants, labs, shipyards)",2,t2_factory_land,Produces Kbots,3005,2007.0,3277.0,,,,img/ta/armalab.png
ta-armap,ta,ARMAP,Aircraft Plant,,arm,structure,"Production buildings (plants, labs, shipyards)",1,t1_factory_air,Produces Aircraft,1850,850.0,1370.0,,,,img/ta/armap.png
ta-armasy,ta,ARMASY,Adv. Shipyard,,arm,structure,"Production buildings (plants, labs, shipyards)",2,t2_factory_naval,Produces Ships,2820,2524.0,2402.0,,,,img/ta/armasy.png
ta-armavp,ta,ARMAVP,Adv. Vehicle Plant,,arm,structure,"Production buildings (plants, labs, shipyards)",2,t2_factory_land,Produces Vehicles,2435,1984.0,3200.0,,,,img/ta/armavp.png
ta-armhp,ta,ARMHP,Hovercraft Platform,,arm,structure,"Production buildings (plants, labs, shipyards)",2,t2_factory_land,Builds Hovercraft,3005,2007.0,5277.0,,,,img/ta/armhp.png
ta-armlab,ta,ARMLAB,Kbot Lab,,arm,structure,"Production buildings (plants, labs, shipyards)",1,t1_factory_land,Produces Kbots,2690,705.0,1130.0,,,,img/ta/armlab.png
ta-armplat,ta,ARMPLAT,Seaplane Platform,,arm,structure,"Production buildings (plants, labs, shipyards)",2,t2_factory_air,Builds Seaplanes,1820,2223.0,5396.0,,,,img/ta/armplat.png
ta-armsy,ta,ARMSY,Shipyard,,arm,structure,"Production buildings (plants, labs, shipyards)",1,t1_factory_naval,Produces Ships,2490,615.0,775.0,,,,img/ta/armsy.png
ta-armvp,ta,ARMVP,Vehicle Plant,,arm,structure,"Production buildings (plants, labs, shipyards)",1,t1_factory_land,Produces Vehicles,2580,620.0,1000.0,,,,img/ta/armvp.png
ta-armckfus,ta,ARMCKFUS,Cloakable Fusion Reactor,,arm,structure,Resource & storage buildings,2,t2_energy,Produces Energy,2200,5420.0,42058.0,,,,img/ta/armckfus.png
ta-armdrag,ta,ARMDRAG,Dragon's Teeth,,arm,structure,Resource & storage buildings,1,wall,Perimeter Defense,3500,10.0,250.0,,,,img/ta/armdrag.png
ta-armestor,ta,ARMESTOR,Energy Storage,,arm,structure,Resource & storage buildings,1,t1_energy,Increases Energy Storage,1000,240.0,2430.0,,,,img/ta/armestor.png
ta-armfmkr,ta,ARMFMKR,Floating Metal Maker,,arm,structure,Resource & storage buildings,1,t1_fab,Floating Metal Maker,110,,1480.0,,,,img/ta/armfmkr.png
ta-armfort,ta,ARMFORT,Fortification Wall,,arm,structure,Resource & storage buildings,1,wall,Perimeter Defense,2000,27.0,675.0,,,,img/ta/armfort.png
